1;2;3;4;5;6;7;8;9;10
459;01.11.2000;660.0;60.0;0.0;0.0;102.0;179.0;0.0;4.48902
460;01.01.1998;744.0;0.0;0.0;0.0;310.0;332.0;0.0;13.6
460;01.01.1999;744.0;0.0;0.0;0.0;233.0;251.0;0.0;10.3
460;01.01.2000;744.0;0.0;0.0;0.0;104.0;109.0;0.0;5.27176
460;01.07.1999;744.0;0.0;0.0;0.0;83.0;87.0;0.0;4.20727
460;01.05.1998;744.0;0.0;0.0;0.0;475.0;496.0;0.0;20.9
460;01.05.1999;744.0;0.0;0.0;0.0;424.0;443.0;0.0;21.49256
460;01.05.2000;744.0;0.0;0.0;0.0;109.0;114.0;0.0;4.79709
460;01.06.1998;720.0;0.0;0.0;0.0;406.0;437.0;0.0;17.9
460;01.06.1999;720.0;0.0;0.0;0.0;107.0;112.0;0.0;5.42383
460;01.06.2000;720.0;0.0;0.0;0.0;149.0;156.0;0.0;6.55749
460;01.07.2000;744.0;0.0;0.0;0.0;124.0;138.0;0.0;5.45724
460;01.08.1998;744.0;0.0;0.0;0.0;477.0;513.0;0.0;21.0
460;01.08.1999;744.0;0.0;0.0;0.0;63.0;66.0;0.0;3.19347
460;01.08.2000;744.0;0.0;0.0;0.0;104.0;113.0;0.0;4.57705
460;01.12.1998;744.0;0.0;0.0;0.0;234.0;252.0;0.0;10.3
460;01.12.1999;744.0;0.0;0.0;0.0;102.0;107.0;0.0;5.17038
460;01.12.2000;744.0;0.0;0.0;0.0;226.0;241.0;0.0;9.94626
463;01.02.1999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
463;01.02.2000;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
463;01.03.1998;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
463;01.03.1999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
463;01.03.2000;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
463;01.04.1998;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
463;01.04.1999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
463;01.04.2000;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
463;01.06.1998;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
463;01.05.1999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
463;01.06.1999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
463;01.06.2000;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
463;01.07.2000;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
463;01.10.2000;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
463;01.11.1999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
463;01.12.1998;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
463;01.12.1999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1516;01.01.1998;744.0;0.0;0.0;0.0;754.0;1547.0;0.0;33.2
1516;01.03.1998;744.0;0.0;0.0;0.0;563.0;1630.0;0.0;24.8
1516;01.02.1998;672.0;0.0;0.0;0.0;762.0;1494.0;0.0;33.5
1516;01.02.1999;672.0;0.0;0.0;0.0;73.0;386.0;0.0;3.2
1516;01.02.2000;600.0;96.0;0.0;0.0;92.0;344.0;0.0;4.66348
1516;01.03.2000;744.0;0.0;0.0;0.0;176.0;673.0;0.0;7.74576
1516;01.04.1998;720.0;0.0;0.0;0.0;400.0;1838.0;0.0;17.6
1516;01.05.1998;744.0;0.0;0.0;0.0;414.0;1787.0;0.0;18.2
1516;01.05.1999;744.0;0.0;0.0;0.0;90.0;429.0;0.0;4.5621
1516;01.07.1998;744.0;0.0;0.0;0.0;758.0;1641.0;0.0;33.4
1516;01.07.1999;744.0;0.0;0.0;0.0;93.0;425.0;0.0;4.71417
1516;01.07.2000;744.0;0.0;0.0;0.0;144.0;527.0;0.0;6.33744
1516;01.08.1999;744.0;0.0;0.0;0.0;101.0;320.0;0.0;5.11969
1516;01.08.2000;744.0;0.0;0.0;0.0;158.0;569.0;0.0;6.95358
1516;01.09.1998;720.0;0.0;0.0;0.0;381.0;847.0;0.0;16.8
1516;01.10.1998;386.0;358.0;0.0;0.0;141.0;450.0;0.0;6.2
1516;01.10.1999;744.0;0.0;0.0;0.0;102.0;346.0;0.0;5.17038
1516;01.10.2000;744.0;0.0;0.0;0.0;130.0;505.0;0.0;5.7213
1516;01.01.1999;744.0;0.0;0.0;0.0;110.0;445.0;0.0;4.8
1516;01.01.2000;744.0;0.0;0.0;0.0;73.0;261.0;0.0;3.70037
1516;01.03.1999;744.0;0.0;0.0;0.0;68.0;333.0;0.0;3.0
1516;01.04.1999;720.0;0.0;0.0;0.0;66.0;321.0;0.0;3.34554
1516;01.04.2000;720.0;0.0;0.0;0.0;151.0;638.0;0.0;6.64551
1516;01.05.2000;744.0;0.0;0.0;0.0;148.0;594.0;0.0;6.51348
1516;01.06.1998;720.0;0.0;0.0;0.0;729.0;1572.0;0.0;32.1
1516;01.08.1998;602.0;142.0;0.0;0.0;447.0;970.0;0.0;19.7
1516;01.06.1999;720.0;0.0;0.0;0.0;109.0;470.0;0.0;5.52521
1516;01.06.2000;720.0;0.0;0.0;0.0;167.0;534.0;0.0;7.34967
1516;01.11.1998;720.0;0.0;0.0;0.0;211.0;853.0;0.0;9.3
1516;01.11.1999;720.0;0.0;0.0;0.0;45.0;170.0;0.0;2.28105
1516;01.11.2000;720.0;0.0;0.0;0.0;118.0;452.0;0.0;5.19318
1516;01.12.1998;386.0;358.0;0.0;0.0;104.0;422.0;0.0;4.6
1516;01.12.1999;744.0;0.0;0.0;0.0;63.0;235.0;0.0;3.19347
1516;01.12.2000;744.0;0.0;0.0;0.0;123.0;466.0;0.0;5.41323
1516;01.05.2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1000;01.10.2021;0.0;0.0;744.0;0.0;0.0;0.0;10196.0;0.0
1024;01.10.2021;744.0;0.0;0.0;0.0;48.766;1455.337;0.0;3.567
459;01.10.2001;744.0;0.0;0.0;0.0;148.0;301.0;0.0;6.51348
463;01.11.2001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
463;01.11.2002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
459;01.03.2001;744.0;0.0;0.0;0.0;175.0;382.0;0.0;7.70175
459;01.03.2002;432.0;312.0;0.0;0.0;182.0;199.0;0.0;6.91964
459;01.03.2003;744.0;0.0;0.0;0.0;472.0;500.0;0.0;17.94544
1516;01.09.2001;720.0;0.0;0.0;0.0;70.0;483.0;0.0;3.0807
459;01.01.2001;744.0;0.0;0.0;0.0;159.0;363.0;0.0;6.99759
459;01.02.2001;672.0;0.0;0.0;0.0;170.0;403.0;0.0;7.4817
